epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.645,1.57039,3.20657,2.19366,0.36449,0.31579,0.23977,0.0771,2.92052,5.59496,3.26844,0.000661247,0.000661247,0.000661247
2,201.001,1.47922,2.21768,2.11812,0.18377,0.44298,0.21293,0.06119,2.60555,2.88399,2.95923,0.00131915,0.00131915,0.00131915
3,297.727,1.5248,1.78414,2.1623,0.1883,0.26754,0.11734,0.02979,2.88934,3.03353,3.13793,0.00196825,0.00196825,0.00196825
4,385.623,1.49987,1.56036,2.12631,0.33202,0.47368,0.3212,0.10249,2.58141,2.43198,3.02638,0.0019604,0.0019604,0.0019604
5,488.409,1.4726,1.45146,2.09277,0.35844,0.35965,0.26875,0.09279,2.73795,2.27753,3.08098,0.0019472,0.0019472,0.0019472
6,588.232,1.40545,1.34695,2.04243,0.41557,0.5676,0.44699,0.17147,2.28122,2.18588,2.60211,0.001934,0.001934,0.001934
7,682.849,1.33229,1.27996,1.99661,0.61307,0.60965,0.60201,0.25088,2.06072,1.54853,2.44621,0.0019208,0.0019208,0.0019208
8,779.856,1.35895,1.25598,1.99772,0.47693,0.54386,0.48763,0.19247,2.33788,1.71482,2.88816,0.0019076,0.0019076,0.0019076
9,879.528,1.31396,1.2186,1.94322,0.72305,0.77632,0.75231,0.32083,1.88341,1.34249,2.30102,0.0018944,0.0018944,0.0018944
10,980.702,1.28686,1.16464,1.89932,0.70875,0.7193,0.72837,0.32478,1.87268,1.27937,2.24797,0.0018812,0.0018812,0.0018812
11,1070.28,1.23906,1.13322,1.88471,0.50931,0.62824,0.56847,0.25596,1.99219,1.52303,2.22353,0.001868,0.001868,0.001868
12,1168.32,1.22394,1.08029,1.85821,0.69038,0.73246,0.71133,0.34413,1.84266,1.29992,2.14942,0.0018548,0.0018548,0.0018548
13,1266.87,1.19594,1.07838,1.81042,0.78699,0.72921,0.78032,0.3369,1.81816,1.27155,2.19501,0.0018416,0.0018416,0.0018416
14,1364.05,1.1972,1.04849,1.83094,0.68536,0.7193,0.72948,0.35989,1.73057,1.22561,2.04255,0.0018284,0.0018284,0.0018284
15,1460.92,1.15838,1.02571,1.769,0.6506,0.75439,0.70159,0.34152,1.783,1.27948,2.05804,0.0018152,0.0018152,0.0018152
16,1558.22,1.15649,1.03244,1.75839,0.78017,0.73161,0.77952,0.39967,1.7543,1.16587,2.08652,0.001802,0.001802,0.001802
17,1656.79,1.12016,0.96283,1.77395,0.64149,0.72203,0.69066,0.37162,1.66784,1.20624,1.93583,0.0017888,0.0017888,0.0017888
18,1751.16,1.12092,0.95572,1.74022,0.68114,0.74016,0.72875,0.34475,1.84915,1.26507,2.18549,0.0017756,0.0017756,0.0017756
19,1850.22,1.11353,0.97827,1.74165,0.72768,0.78947,0.77007,0.37127,1.73685,1.09867,2.15269,0.0017624,0.0017624,0.0017624
20,1951.51,1.08763,0.92182,1.71329,0.60283,0.77632,0.71468,0.3575,1.71731,1.22827,1.94469,0.0017492,0.0017492,0.0017492
21,2051.69,1.08155,0.93327,1.6903,0.75071,0.78947,0.79833,0.40513,1.66301,1.05802,1.9181,0.001736,0.001736,0.001736
22,2150.48,1.06145,0.90668,1.6838,0.69466,0.85526,0.85223,0.44076,1.59763,1.00933,1.85242,0.0017228,0.0017228,0.0017228
23,2250.49,1.07508,0.89262,1.67706,0.74634,0.77632,0.78368,0.44659,1.56059,1.03783,1.78143,0.0017096,0.0017096,0.0017096
24,2342.62,1.04695,0.92014,1.67323,0.74988,0.74561,0.82522,0.46365,1.51288,0.96789,1.73291,0.0016964,0.0016964,0.0016964
25,2441.96,1.02365,0.87212,1.64782,0.67227,0.81872,0.79206,0.41263,1.59115,1.12243,1.86884,0.0016832,0.0016832,0.0016832
26,2542.96,1.0206,0.85408,1.63265,0.74468,0.81871,0.80998,0.4449,1.55905,0.94315,1.82236,0.00167,0.00167,0.00167
27,2643.25,0.99917,0.84376,1.63238,0.84161,0.74561,0.82525,0.4319,1.65439,1.05365,1.88374,0.0016568,0.0016568,0.0016568
28,2735.85,0.99366,0.8051,1.61347,0.728,0.83333,0.832,0.47092,1.54694,0.88335,1.735,0.0016436,0.0016436,0.0016436
29,2835.5,0.98742,0.8131,1.60014,0.78091,0.77632,0.80552,0.425,1.59957,1.03482,1.81454,0.0016304,0.0016304,0.0016304
30,2935.7,0.98247,0.83755,1.60452,0.7681,0.82456,0.85451,0.49356,1.55945,0.99597,1.71369,0.0016172,0.0016172,0.0016172
31,3027.4,0.98661,0.78996,1.58212,0.7608,0.80912,0.82306,0.4513,1.59394,1.0281,1.78886,0.001604,0.001604,0.001604
32,3125.08,0.96606,0.78714,1.59625,0.73652,0.82456,0.83291,0.49406,1.48622,0.93981,1.6614,0.0015908,0.0015908,0.0015908
33,3224.88,0.9672,0.7821,1.56317,0.7857,0.82895,0.84139,0.49139,1.48324,0.86179,1.71097,0.0015776,0.0015776,0.0015776
34,3325.03,0.94265,0.76871,1.55532,0.75796,0.84211,0.84303,0.46878,1.53938,0.97143,1.79651,0.0015644,0.0015644,0.0015644
35,3415.41,0.93719,0.7446,1.54384,0.76176,0.81579,0.80539,0.44755,1.55912,1.03067,1.703,0.0015512,0.0015512,0.0015512
36,3513.87,0.94792,0.75337,1.55144,0.82694,0.82895,0.83493,0.49259,1.48207,0.85317,1.69428,0.001538,0.001538,0.001538
37,3613.39,0.9264,0.75048,1.53105,0.7985,0.87281,0.8781,0.52366,1.43198,0.83184,1.64791,0.0015248,0.0015248,0.0015248
38,3713.01,0.93054,0.72762,1.52798,0.81719,0.86266,0.86827,0.50366,1.51106,0.80116,1.76388,0.0015116,0.0015116,0.0015116
39,3807.99,0.91536,0.73924,1.5173,0.75876,0.84649,0.83613,0.465,1.59899,0.96776,1.79354,0.0014984,0.0014984,0.0014984
40,3906.15,0.92019,0.72407,1.52497,0.76789,0.80702,0.84015,0.47653,1.48239,0.89708,1.68632,0.0014852,0.0014852,0.0014852
41,4011.89,0.9134,0.73095,1.51565,0.82588,0.83211,0.87034,0.51382,1.46014,0.79429,1.6569,0.001472,0.001472,0.001472
42,4114.29,0.90983,0.70104,1.5125,0.86649,0.8114,0.86802,0.47879,1.5737,0.83739,1.8396,0.0014588,0.0014588,0.0014588
43,4213.5,0.88508,0.70293,1.48541,0.73808,0.86517,0.85993,0.49894,1.4703,0.86109,1.76844,0.0014456,0.0014456,0.0014456
44,4305.54,0.8811,0.68405,1.50374,0.75593,0.84221,0.83421,0.48086,1.43736,0.90027,1.64592,0.0014324,0.0014324,0.0014324
