epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.376,1.51187,3.44134,2.10498,0.31078,0.39476,0.27596,0.08857,2.65512,3.50603,2.56994,0.000552436,0.000552436,0.000552436
2,275.198,1.42004,2.25905,2.03512,0.24991,0.36413,0.15661,0.04314,2.49663,3.44399,2.59358,0.00110079,0.00110079,0.00110079
3,418.086,1.43723,1.81807,2.06578,0.38713,0.41165,0.32042,0.09719,2.46154,2.49094,2.77788,0.00164181,0.00164181,0.00164181
4,559.456,1.39371,1.57427,2.03584,0.41653,0.56184,0.44429,0.15479,2.20846,2.3455,2.68268,0.00163399,0.00163399,0.00163399
5,711.03,1.34561,1.46904,1.97867,0.42296,0.56279,0.50721,0.18096,2.24143,1.80004,2.54358,0.00162299,0.00162299,0.00162299
6,853.337,1.2842,1.34363,1.92475,0.53242,0.53843,0.56782,0.24295,2.11069,1.70779,2.08915,0.00161199,0.00161199,0.00161199
7,989.627,1.27034,1.3086,1.88904,0.70727,0.658,0.72958,0.30719,1.91242,1.42304,2.07316,0.00160099,0.00160099,0.00160099
8,1131.11,1.2012,1.23002,1.81943,0.69089,0.73893,0.75084,0.36235,1.76002,1.22749,1.85774,0.00158998,0.00158998,0.00158998
9,1276.6,1.19201,1.20196,1.81854,0.49745,0.71376,0.67448,0.30804,1.94523,1.60857,2.11316,0.00157898,0.00157898,0.00157898
10,1416.34,1.16097,1.15753,1.75755,0.7546,0.72139,0.81815,0.43192,1.71356,1.17934,1.76498,0.00156798,0.00156798,0.00156798
11,1563.31,1.13344,1.10292,1.74291,0.78255,0.77209,0.81984,0.40829,1.70896,0.97,1.73708,0.00155698,0.00155698,0.00155698
12,1704.36,1.1158,1.07432,1.73508,0.71258,0.776,0.80641,0.42462,1.69167,1.11115,1.77135,0.00154598,0.00154598,0.00154598
13,1854.96,1.09452,1.03891,1.71523,0.68315,0.74321,0.76126,0.37991,1.77129,1.27489,1.7618,0.00153497,0.00153497,0.00153497
14,2009.29,1.06636,1.03537,1.69304,0.71213,0.79621,0.81447,0.42782,1.59662,0.95016,1.5641,0.00152397,0.00152397,0.00152397
15,2156.92,1.07069,1.01552,1.67663,0.75287,0.7851,0.81114,0.43472,1.68581,1.01469,1.62505,0.00151297,0.00151297,0.00151297
16,2293.05,1.03096,0.96849,1.65194,0.77644,0.69873,0.79158,0.4065,1.6581,1.0088,1.60339,0.00150197,0.00150197,0.00150197
17,2436.83,1.02399,0.96095,1.62605,0.76447,0.77256,0.84148,0.43217,1.65695,0.97405,1.63723,0.00149096,0.00149096,0.00149096
18,2581.87,1.01069,0.92317,1.62692,0.70981,0.77438,0.78509,0.4248,1.69005,1.01529,1.86537,0.00147996,0.00147996,0.00147996
19,2734.39,0.97679,0.89665,1.58396,0.72292,0.78717,0.8033,0.45796,1.52631,1.04556,1.48567,0.00146896,0.00146896,0.00146896
20,2858.15,0.96406,0.87928,1.57152,0.71669,0.71566,0.79884,0.40984,1.6943,1.08099,1.86947,0.00145796,0.00145796,0.00145796
21,2958.84,0.96692,0.86159,1.56294,0.71873,0.74922,0.79501,0.45493,1.59134,1.02686,1.64069,0.00144696,0.00144696,0.00144696
22,3056.1,0.95883,0.85895,1.547,0.75498,0.78765,0.84156,0.48063,1.56006,0.90569,1.47917,0.00143595,0.00143595,0.00143595
23,3153.34,0.94551,0.85349,1.55659,0.74968,0.80712,0.8506,0.46689,1.54983,0.97452,1.46743,0.00142495,0.00142495,0.00142495
24,3249.93,0.95409,0.82601,1.54608,0.74976,0.86978,0.86103,0.5018,1.51877,0.80314,1.46103,0.00141395,0.00141395,0.00141395
25,3345.34,0.91355,0.78833,1.51366,0.73669,0.81673,0.83409,0.48328,1.55,0.84497,1.55726,0.00140295,0.00140295,0.00140295
26,3444.85,0.92123,0.79809,1.51881,0.76769,0.73759,0.81024,0.43656,1.69855,0.93816,1.84466,0.00139195,0.00139195,0.00139195
27,3543.25,0.91332,0.80317,1.51045,0.76125,0.82018,0.84893,0.49901,1.48145,0.86344,1.41311,0.00138094,0.00138094,0.00138094
28,3641.31,0.90346,0.80742,1.4962,0.86928,0.8549,0.91573,0.54672,1.43797,0.76263,1.38097,0.00136994,0.00136994,0.00136994
29,3740.75,0.8882,0.78383,1.4868,0.764,0.80993,0.84155,0.50356,1.48814,0.84095,1.44474,0.00135894,0.00135894,0.00135894
30,3840.26,0.89704,0.7852,1.48952,0.72562,0.8511,0.85445,0.51368,1.47127,0.8103,1.39979,0.00134794,0.00134794,0.00134794
31,3939.92,0.89738,0.77445,1.49007,0.79761,0.82352,0.8852,0.52623,1.4353,0.79674,1.32931,0.00133693,0.00133693,0.00133693
32,4037.36,0.86978,0.73766,1.46781,0.83926,0.80198,0.87962,0.54466,1.42306,0.8375,1.36957,0.00132593,0.00132593,0.00132593
33,4134.26,0.85064,0.72784,1.44096,0.78105,0.81837,0.8582,0.51411,1.45901,0.84276,1.37609,0.00131493,0.00131493,0.00131493
34,4231.88,0.85104,0.71729,1.44316,0.76585,0.78801,0.8384,0.50753,1.45561,0.85691,1.40854,0.00130393,0.00130393,0.00130393
35,4330.38,0.87178,0.75525,1.45316,0.73654,0.88116,0.86289,0.51589,1.46534,0.79322,1.39443,0.00129293,0.00129293,0.00129293
36,4429.57,0.86347,0.72096,1.44726,0.81622,0.83198,0.88755,0.53624,1.45504,0.75753,1.4285,0.00128192,0.00128192,0.00128192
37,4528.23,0.847,0.68473,1.4254,0.82273,0.87131,0.89618,0.55624,1.42456,0.76384,1.32464,0.00127092,0.00127092,0.00127092
38,4629.01,0.82336,0.68625,1.417,0.75775,0.85813,0.87414,0.52615,1.41631,0.81233,1.33806,0.00125992,0.00125992,0.00125992
39,4729.01,0.83528,0.69213,1.41743,0.82766,0.79396,0.86454,0.52978,1.42453,0.81284,1.33637,0.00124892,0.00124892,0.00124892
40,4829.91,0.84533,0.66894,1.42014,0.86616,0.79376,0.8939,0.53787,1.4217,0.81761,1.38473,0.00123791,0.00123791,0.00123791
41,4931.17,0.83003,0.68546,1.42087,0.75996,0.81583,0.84722,0.52224,1.4604,0.82992,1.41352,0.00122691,0.00122691,0.00122691
42,5029.49,0.79611,0.64964,1.38744,0.8076,0.84691,0.88226,0.53393,1.43245,0.80566,1.34622,0.00121591,0.00121591,0.00121591
43,5128.42,0.80878,0.65936,1.39572,0.78787,0.81662,0.86518,0.53997,1.39091,0.76041,1.28865,0.00120491,0.00120491,0.00120491
44,5227.02,0.79984,0.63897,1.38686,0.81006,0.81997,0.88332,0.55056,1.39624,0.77677,1.32711,0.00119391,0.00119391,0.00119391
45,5327.43,0.80403,0.65587,1.3858,0.77646,0.80127,0.86447,0.53671,1.39165,0.78934,1.32091,0.0011829,0.0011829,0.0011829
46,5425.41,0.8058,0.64438,1.38325,0.79172,0.87065,0.8875,0.56657,1.38095,0.72593,1.27637,0.0011719,0.0011719,0.0011719
47,5520.68,0.79319,0.63339,1.37149,0.83203,0.8615,0.90867,0.57532,1.3915,0.72649,1.36467,0.0011609,0.0011609,0.0011609
48,5620.22,0.77808,0.61906,1.35917,0.85064,0.78917,0.89027,0.55503,1.39212,0.77962,1.30153,0.0011499,0.0011499,0.0011499
49,5721.69,0.78576,0.62199,1.36066,0.75784,0.84088,0.85294,0.53168,1.39588,0.78141,1.38727,0.00113889,0.00113889,0.00113889
50,5820.49,0.77075,0.61186,1.35559,0.76903,0.8419,0.86075,0.54869,1.40864,0.77971,1.38698,0.00112789,0.00112789,0.00112789
51,5921.57,0.77743,0.61386,1.35971,0.83296,0.82143,0.87977,0.5516,1.41118,0.72886,1.34391,0.00111689,0.00111689,0.00111689
52,6023.8,0.77335,0.60668,1.35351,0.77502,0.84971,0.8639,0.56068,1.325,0.72822,1.2574,0.00110589,0.00110589,0.00110589
53,6124.58,0.7661,0.61126,1.35163,0.77262,0.84242,0.87355,0.55225,1.38725,0.77702,1.31332,0.00109489,0.00109489,0.00109489
54,6222.88,0.76285,0.58445,1.34366,0.83503,0.85892,0.89395,0.57066,1.34182,0.7237,1.29008,0.00108388,0.00108388,0.00108388
55,6317,0.74865,0.57844,1.33439,0.72263,0.78308,0.82453,0.52206,1.39863,0.86211,1.32769,0.00107288,0.00107288,0.00107288
56,6413.67,0.74387,0.58516,1.32823,0.80777,0.80673,0.87674,0.55261,1.36088,0.78024,1.32658,0.00106188,0.00106188,0.00106188
57,6511.04,0.75175,0.58457,1.32396,0.86227,0.85923,0.90655,0.58166,1.35681,0.69215,1.33923,0.00105088,0.00105088,0.00105088
