epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.417,1.51187,3.44134,2.10498,0.31078,0.39476,0.27596,0.08857,2.65512,3.50603,2.56994,0.000552436,0.000552436,0.000552436
2,190.961,1.41118,2.23818,2.03866,0.40611,0.44097,0.39864,0.10775,2.46855,2.3504,2.87545,0.00109713,0.00109713,0.00109713
3,286.168,1.44323,1.79646,2.07645,0.28679,0.46892,0.27958,0.08641,2.64956,2.32628,2.7343,0.00163083,0.00163083,0.00163083
4,380.855,1.38503,1.57142,2.02963,0.50146,0.56756,0.52823,0.17885,2.30006,1.84093,2.64586,0.0016175,0.0016175,0.0016175
5,476.765,1.34351,1.46056,1.97733,0.50717,0.58218,0.53168,0.19987,2.19399,1.83673,2.21574,0.001601,0.001601,0.001601
6,572.194,1.28447,1.35982,1.92195,0.60244,0.67189,0.66346,0.29276,1.99192,1.53376,1.96316,0.0015845,0.0015845,0.0015845
7,668.069,1.26014,1.29279,1.87649,0.51463,0.61205,0.5718,0.2231,2.14603,1.82697,2.19385,0.001568,0.001568,0.001568
8,763.346,1.20751,1.23888,1.82254,0.68583,0.67763,0.73947,0.34367,1.85378,1.38579,1.87921,0.0015515,0.0015515,0.0015515
9,858.677,1.18834,1.17868,1.8082,0.56154,0.60356,0.65937,0.30284,1.90553,1.50176,1.88622,0.00153499,0.00153499,0.00153499
10,953.684,1.15483,1.12489,1.7456,0.71608,0.75711,0.80143,0.40185,1.75796,1.12874,1.71989,0.00151849,0.00151849,0.00151849
11,1049.15,1.12642,1.11263,1.73637,0.66206,0.70502,0.71838,0.31284,1.91245,1.36517,2.15284,0.00150199,0.00150199,0.00150199
12,1143.11,1.10516,1.0857,1.71564,0.77749,0.79998,0.8598,0.41896,1.72036,1.06852,1.74897,0.00148549,0.00148549,0.00148549
13,1239.32,1.09086,1.03326,1.71006,0.76178,0.81672,0.85346,0.42347,1.68126,1.03056,1.68749,0.00146899,0.00146899,0.00146899
14,1333.29,1.05092,1.01108,1.68422,0.70345,0.78697,0.8373,0.45313,1.58421,1.09956,1.56639,0.00145249,0.00145249,0.00145249
15,1428.51,1.06207,0.998,1.66329,0.69207,0.77808,0.80785,0.44103,1.62856,1.03533,1.55279,0.00143599,0.00143599,0.00143599
16,1525.15,1.02148,0.95824,1.63758,0.70702,0.73947,0.77396,0.37441,1.81894,1.13288,1.74162,0.00141949,0.00141949,0.00141949
17,1620.52,1.02446,0.94777,1.62642,0.70389,0.67226,0.77295,0.38881,1.72914,1.16258,1.78168,0.00140299,0.00140299,0.00140299
18,1714.38,0.98982,0.90911,1.60148,0.81314,0.81264,0.87761,0.47397,1.59141,0.92171,1.71284,0.00138649,0.00138649,0.00138649
19,1808.41,0.9885,0.89695,1.59667,0.76932,0.77956,0.82424,0.43453,1.65432,1.1337,1.59585,0.00136999,0.00136999,0.00136999
20,1902.93,0.97032,0.87209,1.57945,0.87245,0.82911,0.90722,0.52237,1.4896,0.83124,1.45476,0.00135349,0.00135349,0.00135349
21,1997.49,0.9561,0.86264,1.55232,0.74808,0.71202,0.82898,0.4139,1.70476,1.28893,1.84502,0.00133699,0.00133699,0.00133699
22,2092.53,0.93504,0.83921,1.52853,0.73314,0.77517,0.8419,0.46983,1.49267,0.97618,1.4101,0.00132049,0.00132049,0.00132049
23,2185.47,0.9334,0.84062,1.54114,0.71626,0.80321,0.83091,0.44621,1.62145,1.07677,1.51795,0.00130399,0.00130399,0.00130399
